Anonymous ID,Year,Prior Stat,Other Stat,Prior CS,Other CS,Prior Math,Other Math,How would you best describe your confidence with Tinker Plots?,How would you best describe your confidence with statistical concepts?,How would you best describe your confidence with R and RStudio?,AW1,AW2,AW3,AW4,AW5,TM1,TM2,TM3,TM4,TM5,CA1,CA2,CA3,CA4,CA5,TH1,TH2,TH3,TH4,TH5,SD
96,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.),AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.)",,Other,A Level Further Math and A level Math,I occasionally feel confused when using Tinker Plots,I feel confident engaging with statistical concepts most of the time,I occasionally feel confident when using R and RStudio,6,8,5,3,8,9,7,7,8,7,7,5,7,6,7,3,3,4,4,4,1.889026483
97,Sophomore (2nd Year),Introductory College Statistics Course (100 or 200 level course),,No prior programming or computer science courses taken,,No prior Calculus Experience,,I occasionally feel confident when using Tinker Plots,I occasionally feel confused when enaging with statistical concepts,I occasionally feel confused when using R and RStudio,8,8,7,7,6,7,7,8,8,8,6,8,7,8,8,7,8,7,8,8,0.6863327412
98,Sophomore (2nd Year),"AP Statistics, IB Statistics or any other high school statistics course",,No prior programming or computer science courses taken,,College level Calculus (eg. Math 221/231/241),,I occasionally feel confused when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I occasionally feel confident when using R and RStudio,9,9,7,9,9,8,7,8,8,9,7,9,8,8,8,8,8,8,8,9,0.6958523739
99,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,200+ level CS courses,,College level Calculus (eg. Math 221/231/241),,I occasionally feel confused when using Tinker Plots,I feel confident engaging with statistical concepts most of the time,I feel confident using R and RStudio most of the time,9,8,9,8,7,6,9,8,6,7,7,9,6,8,9,9,9,9,8,8,1.099042646
101,Freshman (1st Year),No prior statistics courses taken,,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.),AP CS A or similar high school programming course (eg. a course that teaches Java, Python, C++ etc.),Introductory CS course for CS/CE/ECE majors (eg. CS 124, 128)",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I occasionally feel confident when using Tinker Plots,I occasionally feel confused when enaging with statistical concepts,I occasionally feel confused when using R and RStudio,5,6,8,3,4,3,4,4,3,5,4,3,8,5,5,4,3,4,5,5,1.468081455
102,Sophomore (2nd Year),"AP Statistics, IB Statistics or any other high school statistics course,Introductory College Statistics Course (100 or 200 level course)",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.),Introductory CS course for CS/CE/ECE majors (eg. CS 124, 128)",,AP Calculus AB/BC,,I occasionally feel confident when using Tinker Plots,I occasionally feel confused when enaging with statistical concepts,I feel confident using R and RStudio most of the time,4,2,10,4,2,8,8,8,7,6,5,5,8,8,6,2,5,2,5,2,2.518876107
103,Sophomore (2nd Year),"AP Statistics, IB Statistics or any other high school statistics course,Introductory College Statistics Course (100 or 200 level course)",,"Introductory CS course for non-CS/CE/ECE majors (eg. CS 101, CS 105),Introductory CS course for CS/CE/ECE majors (eg. CS 124, 128)",,AP Calculus AB/BC,,I occasionally feel confident when using Tinker Plots,I occasionally feel confident when engaging with statistical concepts,I occasionally feel confused when using R and RStudio,2,5,3,0,5,3,6,10,8,5,10,1,0,7,10,10,3,6,7,5,3.278317926
104,Junior (3rd Year),Advanced College Statics Course (300+ level statistics course),,"Introductory CS course for CS/CE/ECE majors (eg. CS 124, 128)",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I feel confident using Tinker Plots most of the time,I feel confident engaging with statistical concepts most of the time,I feel confident using R and RStudio most of the time,7,6,8,7,7,8,8,9,9,9,7,7,8,8,7,8,7,6,7,7,0.8885233166
105,Freshman (1st Year),"AP Statistics, IB Statistics or any other high school statistics course",,"AP CS Principles or a fundamental CS principles course (eg. theory, pseudo-coding etc.)",,AP Calculus AB/BC,,I feel confused using Tinker Plots most of the time,I feel confident engaging with statistical concepts most of the time,I feel confused using R and RStudio most of the time,7,6,7,6,7,8,8,8,8,6,8,6,8,8,6,6,8,6,8,6,0.9445132414
106,Junior (3rd Year),"AP Statistics, IB Statistics or any other high school statistics course",,"Introductory CS course for CS/CE/ECE majors (eg. CS 124, 128)",,"AP Calculus AB/BC,College level Calculus (eg. Math 221/231/241)",,I feel confident using Tinker Plots most of the time,I feel confident engaging with statistical concepts most of the time,I feel confident using R and RStudio most of the time,10,8,10,10,10,10,10,9,9,9,10,10,9,9,10,10,10,9,8,10,0.6882472016
